Format Version,1.1,Take Name,Take 2016-04-07 09.30.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.30.11.679 PM,Total Frames,8363,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10008,Marker_10008,Marker_10008,Marker_10009,Marker_10009,Marker_10009,Marker_10010,Marker_10010,Marker_10010
,,"8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E3570271A","8392B20CF49E3570271A","8392B20CF49E3570271A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
289,2.408333,-3.591763,1.945043,-3.679080,,,,,,
290,2.416667,-3.591690,1.945122,-3.679183,,,,,,
291,2.425000,-3.591719,1.945156,-3.679259,,,,,,
292,2.433333,-3.591552,1.945224,-3.679336,,,,,,
293,2.441667,-3.591569,1.944996,-3.679615,,,,,,
294,2.450000,-3.591525,1.945035,-3.679688,,,,,,
295,2.458333,-3.591447,1.945154,-3.679724,,,,,,
296,2.466667,-3.591360,1.945096,-3.679815,,,,,,
297,2.475000,-3.591315,1.945093,-3.679871,,,,,,
298,2.483333,-3.591293,1.945241,-3.679884,,,,,,
299,2.491667,-3.591388,1.945163,-3.680035,,,,,,
300,2.500000,-3.591432,1.945289,-3.680009,,,,,,
301,2.508333,-3.591286,1.945298,-3.680064,,,,,,
302,2.516667,-3.591244,1.945310,-3.680182,,,,,,
303,2.525000,-3.591220,1.945011,-3.680672,,,,,,
304,2.533333,-3.591007,1.945120,-3.680405,,,,,,
305,2.541667,-3.590962,1.945062,-3.680468,,,,,,
306,2.550000,-3.590970,1.945058,-3.680689,,,,,,
307,2.558333,-3.591048,1.945125,-3.680731,,,,,,
308,2.566667,-3.591080,1.945133,-3.680806,,,,,,
309,2.575000,-3.591346,1.945218,-3.680862,,,,,,
310,2.583333,-3.591256,1.945097,-3.680946,,,,,,
311,2.591667,-3.591252,1.945163,-3.680954,,,,,,
312,2.600000,-3.591211,1.945199,-3.680960,,,,,,
313,2.608333,-3.591261,1.945325,-3.681049,,,,,,
314,2.616667,-3.591112,1.945238,-3.681219,,,,,,
315,2.625000,-3.591215,1.945201,-3.681236,,,,,,
316,2.633333,-3.591161,1.945225,-3.681251,,,,,,
317,2.641667,-3.591301,1.945192,-3.681236,,,,,,
318,2.650000,-3.591363,1.945179,-3.681216,,,,,,
319,2.658333,-3.591300,1.945192,-3.681151,,,,,,
